job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
NLP Engineer,138149,EUR,EX,FT,France,M,France,100,"Linux, R, PyTorch, Scala, Hadoop",Master,19,Consulting,2024-02-14,2024-03-11,1656,10.0,DeepTech Ventures
Autonomous Systems Engineer,125926,AUD,MI,FT,Australia,L,Australia,50,"Spark, Python, Mathematics, TensorFlow, Data Visualization",PhD,2,Gaming,2025-03-11,2025-04-16,1021,8.7,Autonomous Tech
ML Ops Engineer,104568,EUR,SE,FT,Germany,S,France,50,"Deep Learning, TensorFlow, NLP, Java, Azure",PhD,8,Automotive,2025-02-02,2025-03-29,2441,8.7,Advanced Robotics
Principal Data Scientist,51562,USD,EN,FL,Sweden,S,Sweden,100,"Java, TensorFlow, MLOps, Linux",Bachelor,0,Healthcare,2024-11-28,2025-01-19,1448,9.0,Cloud AI Solutions
AI Software Engineer,66137,CAD,MI,FL,Canada,S,Italy,0,"Kubernetes, AWS, Azure",PhD,3,Real Estate,2024-02-23,2024-04-28,508,5.8,DeepTech Ventures
Autonomous Systems Engineer,51318,USD,EN,PT,Israel,M,Israel,0,"Linux, Tableau, Python",Associate,1,Consulting,2024-10-18,2024-11-22,791,6.4,Digital Transformation LLC
AI Software Engineer,53797,USD,EN,CT,Singapore,S,Netherlands,50,"Python, Data Visualization, Kubernetes",PhD,1,Consulting,2024-01-02,2024-02-04,1459,5.0,AI Innovations
AI Architect,87275,USD,EN,CT,Norway,L,Norway,50,"GCP, Linux, PyTorch, Statistics",Bachelor,0,Media,2024-12-31,2025-01-24,2478,7.7,Autonomous Tech
Head of AI,146710,USD,MI,PT,Switzerland,L,Switzerland,100,"Docker, Deep Learning, Python, AWS",Associate,2,Retail,2024-11-07,2025-01-15,2257,6.5,Machine Intelligence Group
Machine Learning Researcher,257240,USD,EX,CT,United States,S,United States,100,"PyTorch, MLOps, NLP, Python",Master,15,Media,2025-04-29,2025-06-28,2003,5.1,Algorithmic Solutions
Data Analyst,65532,USD,SE,CT,Austria,S,Austria,0,"Kubernetes, Data Visualization, Spark, Scala",PhD,9,Education,2024-05-17,2024-06-18,1149,9.2,Advanced Robotics
Principal Data Scientist,48423,USD,EN,FT,Israel,S,Israel,0,"Python, Linux, Data Visualization",Associate,1,Retail,2024-02-07,2024-03-25,596,8.5,AI Innovations
Data Engineer,167739,USD,SE,PT,Singapore,L,Singapore,0,"TensorFlow, MLOps, Tableau, Computer Vision, Java",Associate,6,Telecommunications,2024-10-16,2024-12-15,843,6.4,DeepTech Ventures
Robotics Engineer,90764,USD,SE,FT,India,M,India,100,"R, SQL, Statistics, Deep Learning, Spark",PhD,5,Consulting,2024-10-21,2024-11-26,2049,6.5,TechCorp Inc
Research Scientist,109133,USD,SE,PT,Israel,M,Israel,0,"Java, R, Statistics, SQL",PhD,8,Telecommunications,2025-03-17,2025-05-02,2042,8.7,Smart Analytics
Data Scientist,198520,USD,EX,FT,Sweden,L,Sweden,0,"Hadoop, PyTorch, Deep Learning, TensorFlow",Bachelor,15,Retail,2025-02-24,2025-03-24,1825,9.4,Machine Intelligence Group
Head of AI,85426,EUR,EN,CT,Netherlands,L,Netherlands,50,"Java, Python, Tableau",PhD,0,Real Estate,2024-03-22,2024-04-16,551,8.8,Autonomous Tech
Autonomous Systems Engineer,161792,USD,EX,CT,Canada,L,Canada,0,"Python, Hadoop, MLOps",PhD,18,Gaming,2024-12-09,2025-01-25,1745,8.6,Cognitive Computing
Autonomous Systems Engineer,79810,USD,MI,FL,Canada,M,Canada,0,"Tableau, Kubernetes, Spark, PyTorch",Associate,3,Real Estate,2024-08-07,2024-10-18,1656,6.1,TechCorp Inc
Autonomous Systems Engineer,98191,EUR,MI,FT,France,M,France,0,"Scala, PyTorch, SQL",Master,2,Gaming,2024-10-23,2024-11-10,1994,6.3,Smart Analytics
Machine Learning Researcher,304173,USD,EX,CT,Switzerland,M,Switzerland,100,"Data Visualization, Kubernetes, Mathematics, Java",Master,15,Education,2024-04-20,2024-06-30,1850,8.1,TechCorp Inc
ML Ops Engineer,73008,JPY,MI,CT,Japan,S,Japan,50,"Java, Kubernetes, Azure",Master,3,Finance,2024-10-18,2024-12-14,1485,8.2,AI Innovations
Data Analyst,96400,SGD,MI,CT,Singapore,S,Singapore,0,"Tableau, Scala, Python, TensorFlow",Bachelor,4,Telecommunications,2024-12-06,2024-12-29,927,6.0,Autonomous Tech
Robotics Engineer,65535,USD,EN,FT,Canada,L,Canada,50,"Python, Hadoop, Kubernetes",Master,0,Energy,2024-07-15,2024-09-14,1817,6.9,Predictive Systems
AI Software Engineer,139600,CAD,SE,FT,Canada,L,Canada,50,"PyTorch, Kubernetes, Computer Vision, Python, Tableau",PhD,9,Gaming,2024-05-08,2024-07-01,1981,9.8,Machine Intelligence Group
AI Research Scientist,74687,SGD,EN,PT,Singapore,S,United States,0,"AWS, Tableau, Docker, Computer Vision",PhD,1,Consulting,2025-03-08,2025-04-02,2295,8.0,Algorithmic Solutions
Machine Learning Engineer,87035,USD,MI,FT,United States,S,United States,0,"Data Visualization, Computer Vision, Java, Spark, Statistics",PhD,3,Healthcare,2025-04-22,2025-06-14,2493,8.2,Future Systems
AI Architect,58183,USD,MI,FT,Ireland,M,Ireland,100,"Data Visualization, NLP, Azure, Python",PhD,4,Education,2024-12-25,2025-01-29,1143,8.8,DeepTech Ventures
Machine Learning Researcher,163535,EUR,SE,PT,Austria,L,Austria,50,"Statistics, Spark, Tableau",Master,8,Government,2024-08-19,2024-10-10,1823,9.0,TechCorp Inc
AI Specialist,84408,USD,SE,CT,China,M,Israel,100,"Java, PyTorch, Azure, NLP, Mathematics",PhD,6,Gaming,2024-08-16,2024-10-21,1220,6.7,Algorithmic Solutions
Head of AI,73259,USD,MI,FT,South Korea,S,South Korea,0,"Git, Java, Python",Master,2,Finance,2024-04-16,2024-06-28,1797,5.5,DataVision Ltd
Machine Learning Researcher,88816,USD,EN,CT,Switzerland,M,Norway,0,"SQL, Data Visualization, Git",Associate,0,Gaming,2024-05-25,2024-07-31,918,5.2,Machine Intelligence Group
ML Ops Engineer,88585,USD,SE,CT,Canada,S,Finland,100,"Git, Scala, Java, NLP",PhD,9,Transportation,2025-01-02,2025-01-17,2124,8.3,Cognitive Computing
Machine Learning Engineer,77362,AUD,MI,FT,Australia,M,Australia,50,"SQL, Linux, Java, PyTorch",Bachelor,4,Gaming,2025-03-18,2025-04-24,834,7.9,DataVision Ltd
Head of AI,130032,USD,MI,CT,United States,L,Sweden,100,"Python, Scala, Tableau, Git, Mathematics",Bachelor,4,Media,2024-10-31,2024-11-19,1681,9.6,Autonomous Tech
AI Architect,115560,USD,MI,FT,Finland,L,Finland,0,"Data Visualization, Linux, AWS, MLOps, Kubernetes",Master,3,Government,2024-03-24,2024-05-02,1753,9.0,TechCorp Inc
AI Research Scientist,115814,USD,MI,FT,United States,M,Ireland,0,"Spark, Hadoop, Kubernetes, PyTorch",Associate,3,Gaming,2025-01-30,2025-02-19,1968,8.0,Cognitive Computing
Machine Learning Researcher,166410,USD,SE,FL,Denmark,S,Denmark,100,"Computer Vision, GCP, Scala, Statistics",Associate,7,Finance,2025-01-07,2025-03-06,1366,5.5,DeepTech Ventures
Deep Learning Engineer,107118,USD,MI,CT,Denmark,M,Denmark,0,"PyTorch, Data Visualization, GCP, TensorFlow, Linux",Bachelor,4,Automotive,2025-04-11,2025-05-01,2040,8.1,Cognitive Computing
